hybrid_minus_s2cloudless,hybrid_minus_cloudscoreplus,s2cloudless_minus_cloudscoreplus
-0.095998528134835,-0.17686420842320755,-0.08086568028837254
-0.034748781595430545,-0.10904531826805375,-0.0742965366726232
-0.11957656920659554,-0.29780647286380246,-0.17822990365720692
-0.1572530886828904,-0.30932472645416,-0.15207163777126959
-0.06195064437460651,-0.2156626423745432,-0.15371199799993668
-0.09929522883727021,-0.2642539963467718,-0.1649587675095016
-0.15989823478221482,-0.3039726720987809,-0.1440744373165661
-0.06052114911110951,-0.21666338738785346,-0.15614223827674395
-0.10501764082783183,-0.2978710642151297,-0.19285342338729788
-0.0856225820463784,-0.22141237906121436,-0.13578979701483596
-0.06893615213342696,-0.20299284735639178,-0.13405669522296482
-0.08738230899775978,-0.22672420101478585,-0.13934189201702607
-0.03186213708241059,-0.18931113851970588,-0.1574490014372953
-0.09581839593224939,-0.2500325932594998,-0.1542141973272504
-0.021338395905780017,-0.21635250940906964,-0.19501411350328962
-0.05127751809150466,-0.25765176459303923,-0.20637424650153458
-0.049292349212358255,-0.21404223728334082,-0.16474988807098256
-0.054503253191152345,-0.23068258873025627,-0.17617933553910392
-0.03445129557097554,-0.13871922028601597,-0.10426792471504043
-0.05548977889590084,-0.24003479420877383,-0.18454501531287298
-0.08752826891729304,-0.13632243765321855,-0.048794168735925514
-0.1637637656615007,-0.3012282547609437,-0.13746448909944303
-0.07341386779069897,-0.2537894985747161,-0.18037563078401714
-0.03323134564144181,-0.23267037726252066,-0.19943903162107884
-0.12116801446975717,-0.19174811320132257,-0.0705800987315654
-0.021146236434493648,-0.1918210365384595,-0.17067480010396585
-0.08096387377002168,-0.0885120199557643,-0.007548146185742621
-0.05225916303949096,-0.19712982531399736,-0.1448706622745064
-0.11506286915950636,-0.14286656611987703,-0.02780369696037066
-0.1433956786672091,-0.10028228101020792,0.04311339765700117
-0.12896987020166473,-0.22274185108476863,-0.0937719808831039
-0.06599171027128786,-0.2034157232879057,-0.13742401301661783
-0.12366391960403927,-0.22696190286392082,-0.10329798325988154
-0.09738762126651146,-0.14470557296178344,-0.047317951695271976
-0.143593519624579,-0.27445927573754947,-0.13086575611297047
-0.08863655899115574,-0.20996733425512082,-0.12133077526396507
-0.09351827574376487,-0.15349211140225832,-0.05997383565849346
-0.040185178100554164,-0.20600416152857104,-0.16581898342801688
-0.10997538814368396,-0.23239288173814837,-0.12241749359446441
-0.017384819760719983,-0.17367475911499347,-0.1562899393542735
0.015054949292078457,-0.13221920481427163,-0.14727415410635009
-0.2092747671524846,-0.1740639633517252,0.035210803800759416
-0.054825557052730844,-0.19944634990174737,-0.14462079284901652
-0.04401392580700497,-0.059370828175845436,-0.015356902368840464
-0.11957799399288338,-0.19096736790629448,-0.0713893739134111
-0.0758086520917538,-0.22232721060857918,-0.14651855851682538
-0.012128616198376407,-0.2391628895534243,-0.2270342733550479
-0.049079950648106274,-0.21309609382535533,-0.16401614317724905
-0.055562894078585,-0.1143359008472784,-0.0587730067686934
0.022233395465299843,-0.1438377772546104,-0.16607117271991023
-0.03387467902583252,-0.22749170041555322,-0.1936170213897207
-0.10821496803451575,-0.11069651557375487,-0.002481547539239126
